Target, ra[rad], dec[rad], ra[h:m:s], dec[d:m:s], ObservationTimeAtGaia[UTC], CcdRow[1-7], zetaFieldAngle[rad], scanAngle[rad], Fov[FovP=preceding/FovF=following], parallaxFactorAlongScan, parallaxFactorAcrossScan, ObservationTimeAtBarycentre[BarycentricJulianDateInTCB]
hd 81040,2.4599752119232074,0.35542674230220045,09:23:47.087,+20:21:52.028,2017-10-23T22:09:41.592 ,2,0.0017939854022447882,2.7390891995855244,FoVP,0.6557752455027844,0.7146138907705825,2458050.422815601
hd 81040,2.4599752119232074,0.35542674230220045,09:23:47.087,+20:21:52.028,2017-10-23T23:56:15.839 ,1,0.006574553293909216,2.7365143555320866,FoVF,0.6577732653481377,0.7132532567775749,2458050.496830254
hd 81040,2.4599752119232074,0.35542674230220045,09:23:47.087,+20:21:52.028,2017-11-23T03:46:54.659 ,3,7.058721076987664E-4,-2.092221399677273,FoVP,-0.6684859623806546,0.7092298739619509,2458080.660004355
hd 81040,2.4599752119232074,0.35542674230220045,09:23:47.087,+20:21:52.028,2017-11-23T05:33:28.878 ,7,-0.004610655875040708,-2.0907757755503513,FoVF,-0.6693792392686729,0.707948620897583,2458080.7340187477
hd 81040,2.4599752119232074,0.35542674230220045,09:23:47.087,+20:21:52.028,2018-04-06T22:46:14.767 ,6,-0.004214168340388452,-0.25567240995780155,FoVP,0.505394951124223,0.7091493958589866,2458215.4527438004
hd 81040,2.4599752119232074,0.35542674230220045,09:23:47.087,+20:21:52.028,2018-04-07T00:32:48.999 ,5,1.304094099951908E-4,-0.2525272525033992,FoVF,0.5034361354375815,0.7113429048140145,2458215.526744773
hd 81040,2.4599752119232074,0.35542674230220045,09:23:47.087,+20:21:52.028,2018-04-30T00:29:49.591 ,2,0.004937253491442666,1.1021007272466055,FoVF,-0.7027743562340857,0.7164367259238623,2458238.5225285315
hd 81040,2.4599752119232074,0.35542674230220045,09:23:47.087,+20:21:52.028,2018-05-29T04:28:06.685 ,2,0.0018930066429533542,-0.43274823083246067,FoVP,0.6269749619163523,0.7189539105720935,2458267.685173631
hd 81040,2.4599752119232074,0.35542674230220045,09:23:47.087,+20:21:52.028,2018-05-29T06:14:40.928 ,1,0.006608609682039967,-0.43501079677036103,FoVF,0.6282454861723875,0.7172832767966831,2458267.7591742445
hd 81040,2.4599752119232074,0.35542674230220045,09:23:47.087,+20:21:52.028,2018-10-13T17:14:36.803 ,5,-0.0032695721038128733,-2.1297432395658924,FoVP,-0.5510545794612312,0.7188027175955537,2458405.216938923
hd 81040,2.4599752119232074,0.35542674230220045,09:23:47.087,+20:21:52.028,2018-11-07T18:52:57.496 ,6,-0.0018095681294530534,2.6747893895012593,FoVF,0.7104928818204381,0.7120839703674937,2458430.287662714
hd 81040,2.4599752119232074,0.35542674230220045,09:23:47.087,+20:21:52.028,2018-12-03T06:42:05.612 ,4,9.346707685692005E-4,-2.1762715868410547,FoVF,-0.582678925489585,0.7082732219359656,2458455.782614955
hd 81040,2.4599752119232074,0.35542674230220045,09:23:47.087,+20:21:52.028,2019-05-15T07:26:44.999 ,4,0.0017768146185005553,1.083082200562972,FoVF,-0.7085827937605397,0.7194721764157117,2458618.8106025457
hd 81040,2.4599752119232074,0.35542674230220045,09:23:47.087,+20:21:52.028,2019-06-08T13:23:39.271 ,7,-0.0033914111585294686,-0.34376964650110176,FoVF,0.506879788233537,0.7234917041697455,2458643.056203241
