Target, ra[rad], dec[rad], ra[h:m:s], dec[d:m:s], ObservationTimeAtGaia[UTC], CcdRow[1-7], zetaFieldAngle[rad], scanAngle[rad], Fov[FovP=preceding/FovF=following], parallaxFactorAlongScan, parallaxFactorAcrossScan, ObservationTimeAtBarycentre[BarycentricJulianDateInTCB]
HD 141937,4.155159756324477,-0.32176984075747694,15:52:17.548,-18:26:09.794,2016-09-09T13:04:46.303 ,1,0.007010760315125458,-0.5380514731997303,FoVF,0.6559284727976309,0.7185571920926658,2457641.0442381133
HD 141937,4.155159756324477,-0.32176984075747694,15:52:17.548,-18:26:09.794,2017-01-20T18:05:34.801 ,2,0.0030333328964156562,-2.2833819632637575,FoVP,-0.509975309113561,0.6993061076297888,2457774.2520599323
HD 141937,4.155159756324477,-0.32176984075747694,15:52:17.548,-18:26:09.794,2017-01-20T19:52:09.019 ,5,-0.0014361791835443088,-2.2866688956564496,FoVF,-0.508083449308146,0.7014745358366464,2457774.326073646
HD 141937,4.155159756324477,-0.32176984075747694,15:52:17.548,-18:26:09.794,2017-02-13T03:09:23.726 ,2,0.0052415521081541966,2.575081428029976,FoVF,0.6982256532124396,0.7034663523298212,2457797.631960022
HD 141937,4.155159756324477,-0.32176984075747694,15:52:17.548,-18:26:09.794,2017-03-12T01:08:47.953 ,5,-0.0031734432288229165,-2.2322633833632266,FoVP,-0.606266415962347,0.7080181315530855,2457824.550901574
HD 141937,4.155159756324477,-0.32176984075747694,15:52:17.548,-18:26:09.794,2017-07-29T08:06:54.164 ,2,0.0028469930391670736,-0.4612228372016677,FoVP,0.5946806150642573,0.7248058181271454,2457963.8415148943
HD 141937,4.155159756324477,-0.32176984075747694,15:52:17.548,-18:26:09.794,2017-08-25T07:56:40.974 ,1,0.003884549307811058,0.9957486255787528,FoVP,-0.7204873122175741,0.7205664387890652,2457990.8318056036
HD 141937,4.155159756324477,-0.32176984075747694,15:52:17.548,-18:26:09.794,2017-08-25T09:43:15.185 ,5,-0.0013610973350535913,0.9953815830171827,FoVF,-0.7202004391012138,0.7207551091427503,2457990.905805312
HD 141937,4.155159756324477,-0.32176984075747694,15:52:17.548,-18:26:09.794,2017-09-19T19:49:46.277 ,5,-0.0024812799561241116,-0.45607001376541717,FoVP,0.5473574470957946,0.7177007310685338,2458016.3245693236
HD 141937,4.155159756324477,-0.32176984075747694,15:52:17.548,-18:26:09.794,2017-09-19T21:36:20.484 ,3,0.0019659349437473523,-0.45900021043040473,FoVF,0.5490556426934987,0.7156434467438137,2458016.398569798
HD 141937,4.155159756324477,-0.32176984075747694,15:52:17.548,-18:26:09.794,2018-01-30T16:23:04.770 ,4,9.155068080791786E-4,-2.195106627661313,FoVF,-0.6222365550958131,0.703471547367607,2458149.1817742665
HD 141937,4.155159756324477,-0.32176984075747694,15:52:17.548,-18:26:09.794,2018-02-27T16:05:34.877 ,7,-0.00333693925583676,2.5749943081521,FoVF,0.6920864246848257,0.7071581458227668,2458177.1724316673
HD 141937,4.155159756324477,-0.32176984075747694,15:52:17.548,-18:26:09.794,2018-03-21T22:03:15.284 ,4,8.740584936760664E-4,-2.3494194887819866,FoVF,-0.4847889048787147,0.7131248193342424,2458199.4229328837
HD 141937,4.155159756324477,-0.32176984075747694,15:52:17.548,-18:26:09.794,2018-09-09T16:40:19.639 ,2,0.005134962570692486,0.9448920161838397,FoVF,-0.6557879765123502,0.7139020264929672,2458371.19396847
HD 141937,4.155159756324477,-0.32176984075747694,15:52:17.548,-18:26:09.794,2018-09-09T20:53:59.649 ,7,-0.005907498523149969,0.9388100594186549,FoVP,-0.6508840807960716,0.7171183888771421,2458371.370109236
HD 141937,4.155159756324477,-0.32176984075747694,15:52:17.548,-18:26:09.794,2018-09-29T14:57:15.791 ,1,0.0035614574535131486,-0.3165811153334791,FoVP,0.3920880490760222,0.7093795060014861,2458391.12063549
HD 141937,4.155159756324477,-0.32176984075747694,15:52:17.548,-18:26:09.794,2019-02-09T23:32:32.113 ,4,3.192579149357036E-4,-2.152329384236256,FoVF,-0.6890771654626605,0.7073001469990077,2458524.481007579
HD 141937,4.155159756324477,-0.32176984075747694,15:52:17.548,-18:26:09.794,2019-03-14T21:16:13.764 ,2,0.003145710826597176,2.655428412238434,FoVP,0.5840512488622828,0.7134347323584492,2458557.38962988
HD 141937,4.155159756324477,-0.32176984075747694,15:52:17.548,-18:26:09.794,2019-03-30T21:22:14.267 ,2,0.00278936249347094,-2.5560426846111994,FoVP,-0.3012606727384048,0.7184807979686603,2458573.395182595
HD 141937,4.155159756324477,-0.32176984075747694,15:52:17.548,-18:26:09.794,2019-03-30T23:08:48.459 ,5,-4.3572262491817687E-4,-2.551729017111766,FoVF,-0.30408619633360107,0.7164124457595019,2458573.469195237
